periodo,cole_mcpio_ubicacion,cole_depto_ubicacion,punt_matematicas,punt_lectura_critica,punt_global,fami_estratovivienda,fami_educacionmadre,fami_educacionpadre,fami_personashogar,fami_cuartoshogar,fami_tienecomputador,fami_tieneinternet,fami_tieneautomovil,fami_tienelavadora,punt_c_naturales,punt_sociales_ciudadanas,punt_ingles,cole_naturaleza,cole_area_ubicacion,cole_bilingue,estu_genero,desemp_ingles
20211,MANIZALES,CALDAS,63.0,61.0,303.0,Estrato 4,Educación profesional completa,Educación profesional completa,3,Tres,1,1,1,1,58.0,54.0,80.0,Privado,URBANO,1,F,B+
20211,MANIZALES,CALDAS,56.0,47.0,262.0,Estrato 3,Educación profesional completa,Secundaria (Bachillerato) completa,5,Cinco,1,1,0,1,54.0,54.0,47.0,Privado,URBANO,0,M,A-
20211,MANIZALES,CALDAS,76.0,72.0,361.0,Estrato 6,Educación profesional completa,Educación profesional completa,3,Dos,1,1,1,1,68.0,70.0,81.0,Privado,URBANO,0,F,B+
20211,MANIZALES,CALDAS,53.0,55.0,250.0,Estrato 2,Primaria incompleta,Primaria incompleta,3,Tres,0,1,0,1,47.0,48.0,42.0,Privado,URBANO,0,M,A-
20211,MANIZALES,CALDAS,70.0,74.0,363.0,Estrato 6,Educación profesional completa,Educación profesional completa,3,Tres,1,1,1,1,64.0,79.0,84.0,Privado,URBANO,0,M,B+
20211,MANIZALES,CALDAS,40.0,48.0,221.0,Estrato 6,Educación profesional completa,Educación profesional completa,2,Dos,1,1,1,1,46.0,40.0,53.0,Privado,URBANO,0,M,A1
20211,MANIZALES,CALDAS,75.0,71.0,360.0,Estrato 4,Educación profesional completa,Postgrado,3,Cuatro,1,1,1,1,71.0,69.0,79.0,Privado,URBANO,0,M,B+
20211,MANIZALES,CALDAS,52.0,58.0,278.0,Estrato 3,No sabe,No sabe,3,Tres,1,1,0,1,56.0,56.0,57.0,Privado,URBANO,0,M,A1
20211,MANIZALES,CALDAS,54.0,45.0,239.0,Estrato 2,Secundaria (Bachillerato) completa,No sabe,2,Dos,1,1,0,1,46.0,45.0,51.0,Privado,URBANO,0,M,A1
20211,MANIZALES,CALDAS,55.0,68.0,293.0,Estrato 4,Educación profesional completa,Postgrado,3,Dos,1,1,1,1,45.0,59.0,81.0,Privado,URBANO,0,M,B+
20211,VILLAMARÍA,CALDAS,65.0,66.0,317.0,Estrato 4,Postgrado,Educación profesional completa,3,Tres,1,1,1,1,59.0,57.0,84.0,Privado,RURAL,1,M,B+
20211,MANIZALES,CALDAS,73.0,69.0,355.0,Estrato 6,Educación profesional completa,No sabe,3,Cuatro,1,1,1,1,62.0,74.0,88.0,Privado,URBANO,1,F,B+
